Date,Name,Purchase Order,Item,Quantity,Quantity Fulfilled/Received,Destination,Vendor Ship Date,Expected Receipt Date,Amount,Confirmed,Blanket PO
1/27/2021,Shining Era Enterprise Limited,PO10994,1554,1800,0,BPUT1,10/30/2021,12/29/2021,214200,Yes,No
1/27/2021,Shining Era Enterprise Limited,PO10994,1554,3045,0,BPUT1,10/30/2021,12/29/2021,362355,Yes,No
1/27/2021,Shining Era Enterprise Limited,PO10994,1554,200,0,BPUT1,10/30/2021,12/29/2021,23800,Yes,No
1/27/2021,Shining Era Enterprise Limited,PO10995,1565,1148,0,BPUT1,10/30/2021,12/29/2021,140618.52,Yes,No
1/27/2021,Shining Era Enterprise Limited,PO10996,1853,5093,0,BPUT1,10/30/2021,12/29/2021,420987.38,Yes,No
1/27/2021,Shining Era Enterprise Limited,PO10997,1866,2050,0,BPUT1,11/1/2021,12/31/2021,292125,Yes,No
1/27/2021,Shining Era Enterprise Limited,PO10998,1924,7272,0,BPUT1,11/1/2021,12/31/2021,672660,Yes,No
1/27/2021,Shining Era Enterprise Limited,PO11000,1968,4080,0,BPUT1,11/30/2021,1/29/2022,248880,Yes,No
1/27/2021,Shining Era Enterprise Limited,PO11001,1605,2784,0,BPUT1,11/1/2021,12/31/2021,231044.16,Yes,No
2/2/2021,"Guangdong Canbo Electrical Co., LTD",PO11104,1923,1010,0,BPUT1,11/15/2021,1/14/2022,311514.3,Yes,No
2/3/2021,VL (HK) LIMITED,PO11105,1755,4000,4000,BPUT1,7/30/2021,9/28/2021,25200,Yes,No
2/3/2021,VL (HK) LIMITED,PO11105,1755,3435,3435,BPUT1,7/30/2021,9/28/2021,21640.5,Yes,No
2/3/2021,VL (HK) LIMITED,PO11105,1755,1100,1100,BPUT1,8/12/2021,10/11/2021,6930,Yes,No
2/3/2021,VL (HK) LIMITED,PO11105,1755,1465,0,BPUT1,11/1/2021,12/31/2021,9229.5,Yes,No
2/3/2021,Shining Era Enterprise Limited,PO11106,5011,2000,0,BPUT1,10/30/2021,12/29/2021,33060,Yes,No
2/3/2021,Shining Era Enterprise Limited,PO11107,5012,500,0,BPUT1,10/30/2021,12/29/2021,4480,Yes,No
2/3/2021,Shining Era Enterprise Limited,PO11108,5013,2000,0,BPUT1,10/30/2021,12/29/2021,57540,Yes,No
2/3/2021,Shining Era Enterprise Limited,PO11109,5015,2000,0,BPUT1,11/15/2021,1/14/2022,18880,Yes,No
2/3/2021,Shining Era Enterprise Limited,PO11110,5016,2000,0,BPUT1,10/30/2021,12/29/2021,17000,Yes,No
2/3/2021,Shining Era Enterprise Limited,PO11113,5077,300,0,BPUT1,11/4/2021,1/3/2022,11574,Yes,No
2/3/2021,Shining Era Enterprise Limited,PO11127,1542,1469,0,BPUT1,10/30/2021,12/29/2021,7756.32,Yes,No
2/3/2021,Shining Era Enterprise Limited,PO11127,1542,12384,12384,BPUT1,9/29/2021,11/28/2021,65387.52,Yes,No
2/3/2021,Shining Era Enterprise Limited,PO11127,1542,6192,6192,BPUT1,10/20/2021,12/19/2021,32693.76,Yes,No
2/3/2021,VL (HK) LIMITED,PO11135,5516,8000,0,BPUT1,10/30/2021,12/29/2021,195200,Yes,No
2/3/2021,Shining Era Enterprise Limited,PO11142,5003,5000,0,BPUT1,10/30/2021,12/29/2021,72700,Yes,No
2/3/2021,"Foshan Daide Bags Co., LTD",PO11149,5441,1000,0,BPUT1,11/15/2021,1/14/2022,13600,Yes,No
2/10/2021,Shining Era Enterprise Limited,PO11294,1985,200,0,BPUT1,11/2/2021,1/1/2022,200,Yes,No
2/10/2021,Shining Era Enterprise Limited,PO11294,1986,200,0,BPUT1,11/1/2021,12/31/2021,200,Yes,No
2/12/2021,"Foshan Daide Bags Co., LTD",PO11308,5075,5300,0,Import,11/15/2021,1/14/2022,61904,No,Yes
2/12/2021,"Foshan Daide Bags Co., LTD",PO11308,5075,5300,0,Import,10/30/2021,12/29/2021,61904,No,Yes
2/24/2021,VL (HK) LIMITED,PO11377,5326,640,640,BPUT1,9/28/2021,11/27/2021,7315.2,No,Yes
2/24/2021,VL (HK) LIMITED,PO11377,5326,524,0,Import,10/30/2021,12/29/2021,5989.32,No,Yes
2/25/2021,VL (HK) LIMITED,PO11387,5251,1500,0,BPUT1,11/1/2021,12/31/2021,9210,Yes,No
2/25/2021,Shining Era Enterprise Limited,PO11395,5010,1000,0,BPUT1,10/30/2021,12/29/2021,14240,Yes,No
2/25/2021,Shining Era Enterprise Limited,PO11396,5013,1500,0,BPUT1,10/30/2021,12/29/2021,43155,Yes,No
2/25/2021,Shining Era Enterprise Limited,PO11397,5004,15000,0,BPUT1,10/30/2021,12/29/2021,254850,Yes,No
2/25/2021,"Foshan Daide Bags Co., LTD",PO11404,1529,6330,6330,BPUT1,9/28/2021,11/27/2021,43866.9,Yes,No
2/25/2021,"Foshan Daide Bags Co., LTD",PO11404,1529,1728,0,BPUT1,11/15/2021,1/14/2022,11975.04,Yes,No
2/25/2021,"Foshan Daide Bags Co., LTD",PO11407,1529,2616,2616,BPUT1,9/28/2021,11/27/2021,18128.88,Yes,No
2/25/2021,"Foshan Daide Bags Co., LTD",PO11407,1529,5442,0,BPUT1,11/15/2021,1/14/2022,37713.06,Yes,No
