Name,Display Name,SubType,Class,Program Year,Item Status,On Hand,Product Group,Description,Base Price,Purchase Price,Last Purchase Price,Tax Schedule,SPS Item Synch,Brand,ITEM NAME,UPC,GTIN,Master Carton UPC,Cost,MSRP,MAP,HTS Code,Duty %,Min Order Quantity,Class - Custom,Product Origin,Item Length (IN),Item Height (IN),Item Depth (IN),Item Weight (Lbs),PKG Length (IN),PKG Height (IN),PKG Depth (IN),PKG WEIGHT LBS,Item Volume - Cubic Inches,ASSEMBLY TIME/# OF PEOPLE,PRODUCT WARRANTY,Master Pack Quantity,MASTER PACK DIMENSION,Master Pack Weight (in kgs),Master Pack Weight (in lbs),MASTER PACK WEIGHT,MASTER CARTON CUBIC FEET,CASES PER PALLET,UNITS PER PALLET,LAYERS PER PALLET,UNITS PER LAYER,QTY PER 40'HQ CONTAINER,FULL PALLET DIMS,FULL PALLET WEIGHT (LBS),COOKING SURFACE (SQ.IN),INDIV. PKGD,LONG PRODUCT DESCRIPTION,COMPLETE FEATURES,POWER SOURCE,Item Length (CM),Item Height (CM),Item Depth (CM),Item Weight (KG),PKG Length (CM),PKG WEIGHT KG,Item Volume - Cubic Meters,GAUGE OF STEEL,MAX. WEIGHT CAPACITY,ASSEMBLY REQUIRED?,BATTERIES REQUIRED?,BATTERIES INCLUDED?,TYPE OF BATTERIES,TYPE OF BATTERIES II,# OF BATTERIES,# OF BATTERIES II,QTY PER 53' TRUCK,COLOR,CSA APPROVED,ROMANCE COPY,PRODUCT DESCRIPTION,MODEL #,Master Pack Weight (in kgs) (2),Master Pack Weight(in lbs),Vendor,Factory,Available,Purchase Description,Description,Code of Supply
1513,"36"" Pro Bundle",,,,,,,"36"" Pro Bundle",,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36"" Pro Bundle",
1514,Blackstone 36in Accessory Grill Box,,2 - Non-Griddle : 2.3 - Griddle Accessories,2019,Obsolete,,Accessory - GRD,Blackstone 36in Accessory Grill Box,99.99,31.5,35.27,Taxable,No,,,7.17604E+11,,,,99.99,,7321.11.6000,5.70%,,,,"4""","21.75""H","38""W",36.5 bls,"38""","21.75""","4""",36.5,,,,1,"21.75""H x 38""W x 4""L/Deep",17.5,38,36.5 lbs,,34,34,17,2,,,,,,,,,,,,,,,,,,,,,,,,,816,,,,,1514,,,Shining Era Enterprise Limited,,,Blackstone 36in Accessory Grill Box,Blackstone 36in Accessory Grill Box,
1515,Rangetop Bundle,,,,,,,Rangetop Bundle,999.99,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rangetop Bundle,
1516,1899 Bundle,,,,,,,1899 Bundle,799,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899 Bundle,
1517,Original 28in Griddle Cooking Station,,"1 - Griddles : 1.3 - 28"" Griddles",2019,Active,784,Griddles,Original  28in Griddle Cooking Station ,299.99,81.27,79.537,Taxable,No,Blackstone,,7.17604E+11,7.17604E+11,7.17604E+11,,299.99,,7321.11.6000,0.00%,1,85,China,44.5,33.24,22.56,66,33.1,13,21.3,83.8,5.0130208,15 mins/1,1 YEAR,1,33.00L x 21.00W x 12.50H (inches); 83.82L x 53.34W x 31.75H (cm),36.74,84,81.00 lb; 36.74 kg,1.760127315,15,15,5,3,463,"56.5""Lx42.5""Wx54.5""H",1285,524 in 2,Y,"Cover: 1529- 28in Griddle Cover (Sold Separately)  •	Gas Rail Threaded Connector: 5/8” 18UNF (United National Fine Thread)","THE BLACKSTONE 28"" GRIDDLE COOKING STATIONS OFFERS A THICK COLD ROLLED STEEL GRIDDLE COOKING SURFACE.  OFFERS 2 INDEPENDENTLY CONTROLLED BURNERS WITH PUSH BUTTON IGNITION.  FOLDS UP FOR EASY TRANSPORTATION.",Propane,113.03,85.09,49.53,29.93,84.074,38.01,,3.5 mm,100,Y,Yes,No,AA,N/A,1,N/A,360,Black,Yes,"The 28” Griddle allows more versatility for your cooking environment. With legs that fold up makes it more portable for at the park or take to the campsite. Removable griddle for open flame cooking, great for Stock Pots, Dutch Ovens and Frying Pans. Thick cold rolled steel surface for excellent heat retention and distribution. Two independently controlled burners with low to high temperature settings provide versatile cooking options.","The Blackstone 28"" Griddle Cooking Station has a thick cold rolled steel griddle cooking surface, 2 independently controlled burners with push button ignition, and the unit folds up for easy transport.",1517,,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,19,Legacy 28in Griddle Cooking Station,Original  28in Griddle Cooking Station ,
1521,Blackstone 28in Accessory Grill Box,,2 - Non-Griddle : 2.3 - Griddle Accessories,2019,Obsolete,,Accessory - GRD,"1521 BLACKSTONE 28"" ACCESSORY GRILL BOX",89.99,27.04,27.29,Taxable,No,Blackstone,,7.17604E+11,,7.17604E+11,,89.99,,7321.11.6000,5.70%,1,100,,28,2.5,16,23,31,3.5,19,27,1.1929977,5 min/1,90 Days,1,31.00L x 19.00W x 3.75H (inches); 78.74L x 48.26W x 8.89H (cm),12.5,27,27.00 lb; 12.5 kg,,36,36,12,3,1646,"45""Lx50""W40""H",1050,470,Y,Blackstone 28in Accessory Grill Box,"THE BLACKSTONE 28"" GRILL TOP IS CUSTOMED DESIGNED TO FIT ON THE BLACKSTONE 28"" GRIDDLE/GRILL BASE.  OFFERS 478 SQUARE IN OF COOKING SURFACE; WIRE GRILL WITH NON STICK COATING.  INCLUDES WIND SCREEN.",N/A,71.12,6.35,40.64,10.43,78.74,21.77,,,35,N,No,No,N/A,N/A,N/A,N/A,Pallet Qty x 24,Black,N/A,"The 28” Accessory Grill Box can be added to your griddle allowing traditional BBQ grilling! Simply lift off the griddle top and attach the Grill Box for searing Burgers, Hot Dogs, Steaks and Chicken. This Gill Box conveniently stores on the back of your griddle for out of the way storage when not in use. Windscreen and drip tray included.","The Blackstone 28"" Grill Top is custom-designed to fit on the Blackstone 28"" Griddle/Grill Base; offers 478 sq in pf cooking surface; wire grill with non-stick coating; includes wind screen",1521,,,Shining Era Enterprise Limited,,,"1521 BLACKSTONE 28"" ACCESSORY GRILL BOX","1521 BLACKSTONE 28"" ACCESSORY GRILL BOX",
1522,Blackstone 28in Dual Burner Cooking Station W/ Bonus 28in Cover,,SLOBS : 2 - NonGriddle,2019,Obsolete,,Griddles,Blackstone 28in Dual Burner Cooking Station W/ Bonus 28in Cover,199.99,98.75,,Taxable,No,,,7.17604E+11,,,,199.99,,,0.00%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,"•	Gas Rail Threaded Connector: 5/8” 18UNF (United National Fine Thread)",,,,,,,,,,,,,,,,,,,,,,,,,,,Shining Era Enterprise Limited,,,Blackstone 28in Dual Burner Cooking Station W/ Bonus 28in Cover,Blackstone 28in Dual Burner Cooking Station W/ Bonus 28in Cover,
1528,"36"" Classic Griddle Cover",,2 - Non-Griddle : 2.1 - Bags & Covers,2019,Active,135566,Covers/Bags - GRD,Blackstone 36in Griddle Cover,39.99,8.22,8.22,Taxable,No,Blackstone,,7.17604E+11,,20717604152809 (3); 10717604152802 (6),,39.99,,6307.90.9889,7.00%,6,100,,64 NEW 67,26 NEW 25,22 NEW 27,5,11,11.5,3.5,5,,,90 Days,3,11.00L x 12.00W x 12.00H (inches),6.5,14,14.0 lbs,,60,180,5,12,7830,,,N/A,Y,"Fits 36"" with Low & High Shelves  Blackstone 36in Griddle Cover","THE BLACKSTONE 36"" WEATHER RESISTANT COVER IS CUSTOMED DESIGNED TO FIT THE BLACKSTONE 36"" GRIDDLE COOKING STATION.  MADE WITH HEAVY DUTY 600 D POLYESTER.  HIGH IMPACT POLY RESIN FOR EXTREME DURABLE BUCKLES.",N/A,162.56 NEW 170.2,66.04 NEW 63.5,55.88 NEW 68.6,1.36,26.67,2.27,,,,N,No,No,N/A,N/A,N/A,N/A,Pallet Qty x 24,Black,N/A,"Custom 36” Griddle/Grill Cover is built to protect your investment.  With a special UV treatment, your cover will be protected from hot summer sun damage. Clip straps will keep your griddle covered in the most treacherous wind storms and keep the bugs from getting on the cooking surface.","The Blackstone 36"" weather-resistant cover is custom designed to fit the Blackstone 36"" Griddle Cooking Station; made with Heavy Duty 600 D Polyester; high impact poly resin for extremely durable buckles",1528,7488 (20' = 3800),,"Quanzhou Leadwin Bags Co., LTD","Quanzhou Leadwin Bags Co., LTD",45926,Blackstone 36in Griddle Cover,Blackstone 36in Griddle Cover,
1529,"28"" Single Shelf Griddle Cover",,2 - Non-Griddle : 2.1 - Bags & Covers,2019,Active,18229,Covers/Bags - GRD,Blackstone 28in Griddle Cover,39.99,6.93,6.93,Taxable,No,Blackstone,,7.17604E+11,,20717604152908 (3); 10717604152901 (6),,39.99,,6307.90.9889,7.00%,6,100,,44,25,22,3,11,11.5,3.5,3,0.2562211,,90 Days,6,21.00L x 11.50W x 12.25H (inches); 53.2L x 30W x 31.4H (cm),9.5,21,21.00 lb; 9.50 kg,1.760127315,30,180,5,6,8058,"47.5""Lx37.5""Wx59.25""H",832,N/A,Y,"Fits 22"" & 28"" Griddles with one Side Shelf Blackstone 28in Griddle Cover","THE BLACKSTONE 28"" WEATHER RESISTANT COVER IS CUSTOMED DESIGNED TO FIT THE BLACKSTONE 28"" GRIDDLE COOKING STATION.  MADE WITH HEAVY DUTY 600 D POLYESTER.  HIGH IMPACT POLY RESIN FOR EXTREME DURABLE BUCKLES.",N/A,111.76,63.5,55.88,1.36,27.94,1.36,,,,N,No,No,N/A,N/A,N/A,N/A,Pallet Qty x 24,Black,N/A,Custom 28” Griddle/Grill Cover will prevent elements from damaging your griddle. Made with heavy duty 600 D Polyester reinforced corners and High Impact poly resin durable buckles will protect your griddle from extreme weather conditions.,"The Blackstone 28"" weather-resistant cover is custom designed to fir the Blackstone 28"" Griddle Cooking Station; made with Heavy Duty 600 D Polyester; high impact poly resin for extremely durable handles",1529,,,"Foshan Daide Bags Co., LTD","Foshan Daide Bags Co., LTD",7594,Blackstone 28in Griddle Cover,Blackstone 28in Griddle Cover,
1530,Blackstone Patio Oven Cover,,SLOBS : 2 - NonGriddle,2019,Discontinued,2599,Covers/Bags - GRD,Blackstone Patio Oven Cover,39.99,8.17,5.94,Taxable,No,,,7.17604E+11,,1.07176E+13,,39.99,,6307.90.9889,7.00%,6,,,47.5,30.5,19.5,3,11,10.5,4,4,,,,6,22.75L x 13W x 11.5H (inches); 57.79L x 33.02W x 29.21H (cm),11,24,24.00 lb; 11.00 kg,,36,216,6,36,7494,,,,,,,,120.65,77.47,49.53,1.36,27.94,1.36,,,,,,,,,,,Pallet Qty x 24,,,,,,,,"Foshan Daide Bags Co., LTD",,2599,Blackstone Patio Oven Cover,Blackstone Patio Oven Cover,
