Name,Display Name,SubType,Class,Program Year,Item Status,On Hand,Product Group,Description,Base Price,Purchase Price,Last Purchase Price,Tax Schedule,SPS Item Synch,Brand,ITEM NAME,UPC,GTIN,Master Carton UPC,Cost,MSRP,MAP,HTS Code,Duty %,Min Order Quantity,Class - Custom,Product Origin,Item Length (IN),Item Height (IN),Item Depth (IN),Item Weight (Lbs),PKG Length (IN),PKG Height (IN),PKG Depth (IN),PKG WEIGHT LBS,Item Volume - Cubic Inches,ASSEMBLY TIME/# OF PEOPLE,PRODUCT WARRANTY,Master Pack Quantity,MASTER PACK DIMENSION,Master Pack Weight (in kgs),Master Pack Weight (in lbs),MASTER PACK WEIGHT,MASTER CARTON CUBIC FEET,CASES PER PALLET,UNITS PER PALLET,LAYERS PER PALLET,UNITS PER LAYER,QTY PER 40'HQ CONTAINER,FULL PALLET DIMS,FULL PALLET WEIGHT (LBS),COOKING SURFACE (SQ.IN),INDIV. PKGD,LONG PRODUCT DESCRIPTION,COMPLETE FEATURES,POWER SOURCE,Item Length (CM),Item Height (CM),Item Depth (CM),Item Weight (KG),PKG Length (CM),PKG WEIGHT KG,Item Volume - Cubic Meters,GAUGE OF STEEL,MAX. WEIGHT CAPACITY,ASSEMBLY REQUIRED?,BATTERIES REQUIRED?,BATTERIES INCLUDED?,TYPE OF BATTERIES,TYPE OF BATTERIES II,# OF BATTERIES,# OF BATTERIES II,QTY PER 53' TRUCK,COLOR,CSA APPROVED,ROMANCE COPY,PRODUCT DESCRIPTION,MODEL #,Master Pack Weight (in kgs) (2),Master Pack Weight(in lbs),Vendor,Factory,Available,Purchase Description,Description,Code of Supply
2066,"36"" Classic Griddle Kit",,,,,,,"36"" Classic Griddle Kit",,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36"" Classic Griddle Kit",
2067,"36"" Pro Series Bundle",,,,,,,"36"" Pro Series Bundle",893.86,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36"" Pro Series Bundle",
2068,"28"" Rangetop Combo Kit",,,,,,,"28"" Rangetop Combo Kit",813.94,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28"" Rangetop Combo Kit",
2070,"17"" On The Go Starter Kit",,,,,,,"17"" On The Go Starter Kit",299.99,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17"" On The Go Starter Kit",
2072,"36"" Backyard Kitchen Bundle",,,,,,,"36"" Backyard Kitchen Bundle",442.45,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36"" Backyard Kitchen Bundle",
2073,"28"" Culinary Pro Bundle",,,,,,,"28"" Culinary Pro Bundle",807.27,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28"" Culinary Pro Bundle",
2074,"36"" Front Tray Griddle Kit",,,,,,,"36"" Front Tray Griddle Kit",489.99,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36"" Front Tray Griddle Kit",
2076,Culinary 36 in Griddle Drop in,,,,Development,,Griddles,Culinary 36 in Griddle Drop in,,110,,Taxable,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,,,Culinary 36 in Griddle Drop in,
2077,Adventure Ready Camp Cart Bundle,,,,,,,Adventure Ready Camp Cart Bundle,,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure Ready Camp Cart Bundle,
2078,Patio Series 36in Griddle Cabinet w/drawers,,"1 - Griddles : 1.2 - 36"" Griddles",2021,Active,,Griddles,Patio Series 36in Griddle Cabinet w/drawers,1099.99,,,Taxable,No,Patio,Patio Series 36in Griddle Cabinet w/drawers,7.17604E+11,7.17604E+11,,,1099.99,,7321.11.6000,0.00%,,,China,66.38,42.91,29.14,209,42.5,25.75,45.87,246.5,29.8322,,1 Year,1,46.85 L x 26 H x 42.32 W(inches); 119.126 L x,,246.5,,,2,2,2,1,82,,,768 in2,,"Cover:  (Sold Separately)  Description: •	36"" Griddle Station w/hood.  •	36” Cooking Space- 768 In2 •	Four independently controlled cooking zones with a total of 60,000 BTU's.  •	Cabinet style with dual side shelves.  •	Stylish horizontal stainless BLACKSTONE logo banner.  •	Dual linkage painted hood.  •	Cabinet door to access bulk propane tank. •	Dual storage drawers with a 30/70 split.  •	Patented rear grease management system.  •	Magnetic zone on side shelf for tool retention.  •	Garbage bag holder & paper towel holder.  •	Electric igniter system.  •	Gas Rail Threaded Connector: 5/8” 18UNF (United National Fine Thread)",,Propane,168.6052,108.9914,74.0156,95,107.95,111.81,0.84475,4.5 mm,,,,,,,,,48,,,,,2078,,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,,Patio Series 36in Griddle Cabinet w/drawers,Patio Series 36in Griddle Cabinet w/drawers,
2079,Patio Series 28in Griddle Cabinet,,"1 - Griddles : 1.3 - 28"" Griddles",2021,Active,,Griddles,Patio Series 28in Griddle Cabinet,849.99,156,,Taxable,No,Patio Series,Patio Series 28in Griddle Cabinet,7.17604E+11,7.17604E+11,,,849.99,,7321.11.6000,0.00%,,,China,59.44,40.79,25.721,150,41.54,22,35.04,160,18.5058,,1 Year,1,41.53 L x 22 H x 35 W (inches); 18.83 L x 9.979 H x 15.8757 W (Centi),,160,,,3,3,3,1,104,,,524 in2,,"Cover:  Cover  (Sold Separately)   Description:  •	28"" Griddle Station w/hood.  •	28” Cooking Space-524 In2 •	Two independently controlled cooking zones with a total of 34,000 BTU's.  •	Cabinet style with dual side shelves.  •	Stylish horizontal stainless BLACKSTONE logo banner.  •      Dual linkage painted hood.  •	Patented rear grease management system.  •	Magnetic zone on side shelf for tool retention.  •	Garbage bag holder & paper towel holder.  •	Electric igniter system.  •	Gas Rail Threaded Connector: 5/8” 18UNF (United National Fine Thread)",,Propane,26.961,18.5,11.66,68.1818,105.5,72.57,0.52403,3.5 mm,,,,,,,,,72,,,,,2079,,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,,Patio Series 28in Griddle Cabinet,Patio Series 28in Griddle Cabinet,
2080,Griddle Original 28in XL w/hood,,"1 - Griddles : 1.3 - 28"" Griddles",2022,Active,,Griddles,ProSeries 28in Three Burner Griddle Cooking Station ,549.99,120,,Taxable,No,Original,Griddle Original 28in XL w/hood,7.17604E+11,7.17604E+11,,,549.99,,7321.11.6000,0.00%,,,China,59.37,40.71,28.31,112,26.57,21.65,32.67,143,10.8756,,1 Year,1,32.61 L x 21.65 H x 26.57 D (inches);,,143,,,,,,,192,,,613 In2,,"Cover:  Description:  •	28” Griddle Station w/Hood •	28"" Cooking Space-613 in2 •	Three independently controlled cooking zones with a total of 48,000 BTU's.  •	Cart style with dual side shelves.  •	Stylish horizontal stainless BLACKSTONE logo banner.  •	ORIGINAL styled painted hood.  •	Patented rear grease management system.  •	Magnetic zone on side shelf for tool retention. •	Piezo igniter system.  •	Gas Rail Threaded Connector: 5/8” 18UNF (United National Fine Thread)",,Propane,26.929,18.465,12.841,50.8,12.051,64.86,0.30796,3.5 mm,,,,,,,,,,,,,,2080,,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,,Griddle Original 28in XL w/hood,ProSeries 28in Three Burner Griddle Cooking Station ,
2082,"36"" Pro Series Backyard Bundle",,,,,,,"36"" Pro Series Backyard Bundle",1099.99,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36"" Pro Series Backyard Bundle",
2083,"28"" Rangetop Combo Kit",,,,,,,"28"" Rangetop Combo Kit",1003.8,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28"" Rangetop Combo Kit",
2084,"28"" Culinary Collection",,,,,,,"28"" Culinary Collection",,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28"" Culinary Collection",
2087,"Adventure Ready 22"" Outdoor Bundle",,,,,,,"Adventure Ready 22"" Outdoor Bundle",599.76,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adventure Ready 22"" Outdoor Bundle",
2088,"28"" Culinary Collection",,,,,,,"28"" Culinary Collection",1099.16,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28"" Culinary Collection",
2089,"17"" Adventure Ready Airfryer Combo Griddle",,,,,,,"17"" Adventure Ready Airfryer Combo Griddle",481.92,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17"" Adventure Ready Airfryer Combo Griddle",
2090,"36"" Front Tray Bundle",,,,,,,,538.92,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2091,36in Culinary Griddle,,"1 - Griddles : 1.2 - 36"" Griddles",2021,Active,,Griddles,"Culinary 36in Black Front Panel, 4 Burner Griddle Cooking Station ",599.99,170,,Taxable,No,Culinary,"Culinary 36"" Griddle w/Hood",7.17604E+11,7.17604E+11,,,599.99,,7321.11.1060,0.00%,,,China,42.02,41.18,31.93,187,28.7,20.5,41.5,184.8,23918.8,,1 Year,1,39.6 L x 28.9 W x 20.9 H(inches);100.584 L x 73.406 W x 53.086 H(Centi),,184.8,,,,,,,165,,,768 in2,,"Cover: 5575-36in Culinary Griddle Cover (Sold Separately)  Description: •	36"" Cooking Space-768 In2.  •	Four Independently Controlled Cooking Zones with a Total of 60,000 BTU's.  •	Patented Rear Grease Management System.  •	Patented rotate & Remove lid.  •	Culinary Styled Painted Hood.  •	Updated Culinary Control Knobs.  •	Cart style with Dual Side Shelves.  •	Integrated front accessory tray.  •	Paper towel, and garbage bag holders.  •	Electric push button ignition. •	Gas Rail Threaded Connector: 5/8” 18UNF (United National Fine Thread)",,Propane,106.73,104.59,81.1,85,72.89,83.82,0.3919,4.5 mm,,,,,,,,,,,,,,1932,,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,,"Culinary 36in Black Front Panel, 4 Burner Griddle Cooking Station","Culinary 36in Black Front Panel, 4 Burner Griddle Cooking Station ",
2092,30in Culinary Griddle,,"1-Griddles : 1.9: 30"" Griddles",2021,Active,,Griddles,"Culinary 30in Black Front Panel, 3 Burner Griddle Cooking Station ",449.99,136.3,,Taxable,No,Culinary,"Culinary 3 Burner 30"" Griddle w/Hood",7.17604E+11,7.17604E+11,,,449.99,,7321.11.6000,0.00%,,,China,59.5,41.06,27.75,149,24.4,20.5,34.8,147.4,,,1 Year,1,33.86 L x 20.87 H x 24.02 W(inches); 85.4964 L x 61.0108 H x 53.0098 W(Centi),,147.4,,,,,,,225,,,547 in2,,"Cover: 5442- 30in Culinary Griddle Cover (Sold Separately)   Description: •	30"" Griddle station w/hood.  •	Cooking Space-547 In2 •	Two independently controlled ""H"" burners with a total BTU output of 34,000 •	Patented Rear Grease Management System.  •	Patented rotate & remove lid.  •	Culinary Styled Painted Hood.  •	Updated Culinary Control Knobs. •	Cart style with Dual Side Shelves •	Integrated Front Accessory Tray •	Electric Push Button Ignition.  •	Gas Rail Threaded Connector: 5/8” 18UNF (United National Fine Thread)",,Propane,151,104,70,67,61.97,301.4,,3.5 mm,,,,,,,,,,,,,,1934,,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,,"Culinary 30in Black Front Panel, 2 Burner Griddle Cooking Station","Culinary 30in Black Front Panel, 3 Burner Griddle Cooking Station ",
2094,28in Griddle,,"1 - Griddles : 1.3 - 28"" Griddles",2022,Development,,Griddles,28in Griddle,349.99,,,Taxable,No,Essentials,28in Griddle,7.17604E+11,7.17604E+11,,,,,7321.11.1060,5.70%,,,China,,,,,,,,,,,,,,,,,,,,,,,42.92 x 32.68 x 91.2,,524 In2,,"Description:  •	28"" Original griddle  •	Two independently controlled cooking zones with 34,000 BTU's.  •	Dual Stainless H Burners.  •	Patented rear grease management system.  •	Stylish painted hard cover.  •	New national control knobs. •	Electronic ignition system. •	Dual side shelves.  •	Gas Rail Threaded Connector: 5/8” 18UNF (United National Fine Thread)",,Propane,,,,,,,,3.5 mm,,,,,,,,,,,,,,2094,404,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,,28in Griddle with cover and griddle tool kit. 5091 - medium universal cover 1542 - Griddle Tool Kit,28in Griddle,
2095,"17"" Tabletop Collection",,,,,,,"17"" Tabletop Collection",,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17"" Tabletop Collection",
2099,17in ProSeries light gray tabletop griddle w/stand bundle,,"1 - Griddles : 1.5 - 17"" Griddle",2021,Active,,Griddles,"Adventure Ready 17in Griddle W/Straight, Folding Legs, Bundle ",299.99,66,,Taxable,No,,17in ProSeries light gray tabletop griddle w/stand bundle,71760402099,71760402099,,,299.99,,7321.11.1060,0.00%,,,,41,42.19,30.4,66,21.3,21,24,49.6,,,,1,21x23.5x20.5,,66,,,12,12,3,4,,,,,,"•	Uses a one-pound regulator. No adapter hose included.  •	9/16”- 18UNF (United National Fine thread).",,,104.14,107.16,77,29.93,54.1,22.5,,,,,,,,,,,288,,,,,2099,,,Shining Era Enterprise Limited,,,"ProSeries 17in Light Gray Tabletop Griddle with stand and folding legs  Includes: 2098: 17 inch Griddle with folding leg stand, (ProSeries Light Gray color) 1542: Griddle tool kit,  5470: Carry Bag","Adventure Ready 17in Griddle W/Straight, Folding Legs, Bundle ",
2101,17in ProSeries Navy tabletop griddle w/stand bundle,,"1 - Griddles : 1.5 - 17"" Griddle",2021,Active,,Griddles,"Adventure Ready 17in Griddle W/Straight, Folding Legs, Bundle ",299.99,66,,Taxable,No,,17in ProSeries Navy tabletop griddle w/stand bundle,71760402101,71760402101,,,299.99,,7321.11.1060,0.00%,,,,41,42.19,30.4,66,21.3,21,24,49.6,,,,1,21x23.5x20.5,,66,,,12,12,3,4,,,,,,"•	Uses a one-pound regulator. No adapter hose included.  •	9/16”- 18UNF (United National Fine thread).",,,104.14,107.16,77,29.93,54.1,22.5,,,,,,,,,,,288,,,,,2101,,,Shining Era Enterprise Limited,,,"ProSeries 17in Navy Tabletop Griddle with stand and folding legs  Includes: 2100: 17 inch Griddle with folding leg stand, (Navy color with ProSeries knob) 1542: Griddle tool kit,  5470: Carry Bag","Adventure Ready 17in Griddle W/Straight, Folding Legs, Bundle ",
2102,Patio 36in Cart Griddle W/Hood-Black,,,2021,Development,,Griddles,Patio 36in Cart Griddle W/Hood-Black,699.99,174.33,,Taxable,No,Patio,"Patio 36"" Cart Griddle w/Hood",7.17604E+11,7.17604E+11,,,699.99,,7321.11.6000,0.00%,,,China,61.5,45.75,31,174,27.17,21.06,40.55,196,13.4275,,1 Year,1,40.55 L x 21.06 H x 27.17 W(inches); 102.997 L x 69.0118 H x 53.4924 W(Centi),,196,,,,4,4,,200,,,768 In2,,"Cover: 5460- 36in Patio Series Cover (Sold Separately)  Description:  •	36” Griddle Station w/Hood. •	36"" Cooking Space-768 In2.  •	Four independently controlled cooking zones with a total of 60,000 BTU's.  •	Cart style with dual side shelves.  •	Stylish horizontal stainless BLACKSTONE logo banner.  •	PATIO styled painted hood.  •	Patented rear grease management system.   •	Magnetic zone on side shelf for tool retention.  •	Updated LED control knobs.  •	Pivoting paper towel holder.  •	Electric igniter system.  •	Gas Rail Threaded Connector: 5/8” 18UNF (United National Fine Thread)",,Propane,156,116,78.7,79.0909,69.0118,89.0909,0.38022,4.5 mm,,,,,,,,,96,,,,,2102,,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,,Patio 36in Cart Griddle W/Hood-Black,Patio 36in Cart Griddle W/Hood-Black,
2103,Patio 28in Cart Griddle w/Hood,,"1 - Griddles : 1.3 - 28"" Griddles",2021,Development,,Griddles,"Patio Collection 28"" Cart Griddle w/Hood",479.99,152.3,,Taxable,No,Patio,"Patio 28"" Cart Griddle w/Hood",7.17604E+11,7.17604E+11,,,479.99,,7321.11.6000,0.00%,,,China,54,46,28.7,150,27.17,21.06,37,172,12.252,,1 Year,1,37 L x 21.06 H x 27.17 W(inches); 93.98 L x 53.4924 H x 69.0118 W(centi),,172,,,,,,,200,,,613,,"Cover: 5467-Patio 28in Griddle Cover (Sold Separately)  Description:  •	28” Griddle Station w/Hood. •	28” Cooking space-613 In2. •	Three independently controlled cooking zones with a total of 48,000 BTU's.  •	Cart Style with dual side shelves.  •	Stylish horizontal stainless BLACKSTONE logo banner.  •	PATIO styled painted hood.  •	Patented rear grease management system.  •	Updated LED control knobs.  •	Electric igniter system.  •	Gas Rail Threaded Connector: 5/8” 18UNF (United National Fine Thread)",,Propane,137.16,116.84,71.898,68.1818,69.0118,78.1818,0.34694,4.5 mm,,,,,,,,,,,,,,2103,,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,,"Patio Collection 28"" Cart Griddle w/Hood","Patio Collection 28"" Cart Griddle w/Hood",
2104,Patio 28in Cabinet Griddle: 3 Burner; Black,,"1 - Griddles : 1.3 - 28"" Griddles",2021,Development,,Griddles,Patio 28in Cabinet Griddle: 3 Burner; Black,699.99,187.2,,Taxable,No,Patio,"Patio 28"" Cabinet Griddle w/Hood",7.17604E+11,7.17604E+11,,,699.99,,7321.11.6000,0.00%,,,China,54.18,45.37,29.52,167.6,37,21.06,28.92,189.6,13.0411,,1 Year,1,37 L x 21.06 H x 28.92 W(inches); 93.98 L x 73.4568 H x 53.4924 W(Centi),,189.6,,,,3,,,96,37 x 28.92 x 84.24,,613 In2,,"Cover: 5467- 28"" Patio Series Cover (Sold Separately)   •	1838-Black, 1804-Gunmetal, 1805-Bronze, 1806-Cardinal Red, XXXX-Navy  Description:  •	28"" Cooking Space-613 In2.  •	Three independently controlled cooking zones with a total of 48,000 BTU's.  •	Cabinet style with dual side shelves.  •	Two cabinet doors for easy tank access.  •	Stylish horizontal stainless BLACKSTONE logo banner.  •	PATIO styled painted hood.  •	Patented rear grease management system.  •	Magnetic zone on side shelf for tool retention.  •	Updated LED control knobs.  •	Electric igniter system.  •	Gas Rail Threaded Connector: 5/8” 18UNF (United National Fine Thread)",,Propane,137.61,115.23,74.98,76.1818,93.98,86.1818,0.36928,4.5 mm,,,,,,,,,104,1838- Black 1804-Gunmetal 1805-Bronze 1806-Cardinal Red XXXX-Navy,,,,2104,,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,,Patio 28in Cabinet Griddle: 3 Burner; Black,Patio 28in Cabinet Griddle: 3 Burner; Black,
2108,"36"" Airfryer Bundle",,,,,,,"36"" Airfryer Bundle",1200,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36"" Airfryer Bundle",
2109,"22"" Flavor Packed Bundle",,,,,,,"22"" Flavor Packed Bundle",,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22"" Flavor Packed Bundle",
2110,"22"" E-Series Spice It Up Collection",,,,,,,"22"" E-Series Spice It Up Collection ",369.99,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22"" E-Series Spice It Up Collection ",
2118,Original  28in Griddle Cooking Station Bundle,,"1 - Griddles : 1.3 - 28"" Griddles",2022,Active,,Griddles,Original  28in Griddle Cooking Station Bundle,279.99,94,,Taxable,No,Blackstone,Original  28in Griddle Cooking Station Bundle,,,,,,,7321.11.6000,0.00%,1,85,China,44.5,33.24,22.56,66,33.1,13,21.3,83.8,5.0130208,15 mins/1,1 YEAR,1,33.00L x 21.00W x 12.50H (inches); 83.82L x 53.34W x 31.75H (cm),36.74,84,81.00 lb; 36.74 kg,1.760127315,15,15,5,3,463,"56.5""Lx42.5""Wx54.5""H",1285,467 in 2,Y,"Original 28in griddle cooking station with front shelf and soft cover  •	Gas Rail Threaded Connector: 5/8” 18UNF (United National Fine Thread)","THE BLACKSTONE 28"" GRIDDLE COOKING STATIONS OFFERS A THICK COLD ROLLED STEEL GRIDDLE COOKING SURFACE.  OFFERS 2 INDEPENDENTLY CONTROLLED BURNERS WITH PUSH BUTTON IGNITION.  FOLDS UP FOR EASY TRANSPORTATION.",Propane,113.03,85.09,49.53,29.93,84.074,38.01,,3.5 mm,100,Y,Yes,No,AA,N/A,1,N/A,360,Black,Yes,"The 28” Griddle allows more versatility for your cooking environment. With legs that fold up makes it more portable for at the park or take to the campsite. Removable griddle for open flame cooking, great for Stock Pots, Dutch Ovens and Frying Pans. Thick cold rolled steel surface for excellent heat retention and distribution. Two independently controlled burners with low to high temperature settings provide versatile cooking options.","The Blackstone 28"" Griddle Cooking Station has a thick cold rolled steel griddle cooking surface, 2 independently controlled burners with push button ignition, and the unit folds up for easy transport.",2118,,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,,1517 - Legacy 28in Griddle Cooking Station 5256 - Front shelf 1529 - 28in griddle cover,Original  28in Griddle Cooking Station Bundle,
2119,ProSeries 22in Pedestal Griddle - Bronze,,"1 - Griddles : 1.4 - 22"" Griddle",2022,Development,,Griddles,ProSeries 22in Pedestal Griddle - Bronze,399.99,,,Taxable,No,ProSeries,ProSeries 22in Pedestal Griddle - Bronze,7.17604E+11,7.17604E+11,,,399.99,,7321.11.6000,,,,China,45.8,38.25,22.7,86,29.53,17.12,21.25,79.2,,,,1,,,79.2,,,,10,5,,389,,,361 in2,,"Description: • 22"" cooking space-361 In2. • Two independently controlled cooking zones with a total of 24,000 BTU's. • Dual stainless-steel H burners. • Durable and mobile griddle cart. • Classically styled profile hood with stainless adventure ready handle. • Patented rear grease management system. •Dual side shelves • Piezo Ignition.  • Gas Rail Threaded Connector: 5/8” 18UNF (United National Fine Thread) • Uses a Bulk Tank w/Adapter Hose",,,116.33,97.15,57.66,39,75.01,35.92,,3.0 mm,,,,,,,,,,Navy,,,,2119,,,Shining Era Enterprise Limited,Shining Era Enterprise Limited,,ProSeries 22in Pedestal Griddle - Bronze Includes: 2134 - 22in Pedestal Griddle 5572 - Cover 1542 - Griddle tool kit,ProSeries 22in Pedestal Griddle - Bronze,
2121,"17"" Trailhead Bundle",,,,,,,,399.99,,,Taxable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2222,Accessory Kit Box,,,,Active,,Accessory - GRD,Accessory Kit Box,0,,,Taxable,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used to Print another label for Kit Products that require more than one Label.,Accessory Kit Box,
3000,Backyard Griddle Cookbook,,2 - Non-Griddle : 2.3 - Griddle Accessories,2019,Active,,Accessory - GRD,BACKYARD GRIDDLE COOKBOOK (1LB),15.99,6.06,6.32,Taxable,No,,,,,,,15.99,,Domestic,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backyard Griddle Cookbook,BACKYARD GRIDDLE COOKBOOK (1LB),
3004,3004 Blackstone Hat: Raise the Steaks leather patch hat,,4 - Apparel : 4.1 - Hats/Beanies,2019,Active,,Swag,Raise The Steaks Hat ,29.99,,,Taxable,No,,,,,,,29.99,,Domestic,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raise The Steaks Hat,Raise The Steaks Hat ,
3005,3005 BLACKSTONE HAT,,4 - Apparel : 4.1 - Hats/Beanies,2019,Active,,Swag,3005 BLACKSTONE HAT,14.99,6.58,5.98,Taxable,No,,,,,,,14.99,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image Matters,,,3005 BLACKSTONE HAT,3005 BLACKSTONE HAT,
3007-L,3007 Black Hoodie Large,,4 - Apparel : 4.2 - Shirts/Hoodies,,,,Swag,Black Hoodie Large ,34.99,,15,Taxable,No,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Hoodie Large,Black Hoodie Large ,
3007-XL,3007 Black Hoodie XL,,4 - Apparel : 4.2 - Shirts/Hoodies,,,,Swag,Black Hoodie XL,34.99,15,15,Taxable,No,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Hoodie XL,Black Hoodie XL,
3008-2XL,3008 Light Blue Button Up 2XL,,4 - Apparel : 4.2 - Shirts/Hoodies,,,,Swag,Light Blue Button Up 2XL,59.99,35.7,35.7,Taxable,No,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3008 Light Blue Button Up 2XL,Light Blue Button Up 2XL,
3008-3XL,3008 Light Blue Button Up 3XL,,4 - Apparel : 4.2 - Shirts/Hoodies,,,,Swag,Light Blue Button Up Shirt 3XL,59.99,,35.7,Taxable,No,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3008 Light Blue Button Up 3XL,Light Blue Button Up Shirt 3XL,
3008-L,3008-L Light Blue Button Up L,,4 - Apparel : 4.2 - Shirts/Hoodies,,,,Swag,Light Blue Button Up Large ,59.99,35.7,,Taxable,No,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1863 36"" Griddle Upgrade",Light Blue Button Up Large ,
3008-XL,3008 Light Blue Button Up XL,,4 - Apparel : 4.2 - Shirts/Hoodies,,,,Swag,Light Blue Button Up XL,59.99,35.7,24.71,Taxable,No,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3008 Light Blue Button Up XL,Light Blue Button Up XL,
3009-2XL,3009 Grey Button Up Shirt 2XL,,4 - Apparel : 4.2 - Shirts/Hoodies,,,,Swag,Grey Button Up Shirt 2XL,59.99,37.5,37.5,Taxable,No,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grey Button Up Shirt 2XL,Grey Button Up Shirt 2XL,
