Purchase Order,Vendor,Item Receipt #,Item,Quantity,Container # (IR),To Location,Destination (PO),Carrier (IR),Trans-Loaded (IR),Departure (IR),Port ETA (IR),Due at Warehouse,Amount,Item Receipt Rate
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12058,RP 92308,30,FANU1801504 RP,Transit,BPUT1,DSV,No,9/25/2021,12/2/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12058,RP 92398,30,FANU1801504 RP,Transit,BPUT1,DSV,No,9/25/2021,12/2/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12058,RP 92399,30,FANU1801504 RP,Transit,BPUT1,DSV,No,9/25/2021,12/2/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12058,RP 92334,5,FANU1801504 RP,Transit,BPUT1,DSV,No,9/25/2021,12/2/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12058,RP 92366,5,FANU1801504 RP,Transit,BPUT1,DSV,No,9/25/2021,12/2/2021,,0,0
PO12305,Shining Era Enterprise Limited,IR12287,1542,6192,FCIU8751409,Transit,BPUT1,DSV,No,9/25/2021,12/2/2021,,32693.76,5.28
PO9798,Shining Era Enterprise Limited,IR12025,1924,404,ECMU9773483,Transit,,DSV,No,9/12/2021,12/5/2021,,37370,92.5
PO9624,Shining Era Enterprise Limited,IR12026,1883,335,BMOU5087704,Transit,,DSV,No,9/12/2021,12/5/2021,,33165,99
PO6336,Shining Era Enterprise Limited,IR12027,1935,380,CMAU4382673,Transit,BPUT1,DSV,No,9/12/2021,12/5/2021,,36860,97
PO9778,Shining Era Enterprise Limited,IR12028,1605,463,TCNU2844583,Transit,,DSV,No,9/12/2021,12/5/2021,,38424.37,82.99
PO12054,VL (HK) LIMITED,IR12387,5017,62000,HLBU2571600,Transit,Import,DSV,No,10/7/2021,12/6/2021,,58900,0.95
PO12629,VL (HK) LIMITED,IR12388,5370,6536,FANU1813573,Transit,BPUT1,DSV,No,10/7/2021,12/6/2021,,48823.92,7.47
PO16290,VL (HK) LIMITED,IR12389,5433,10000,FANU1811267,Transit,BPUT1,DSV,No,10/7/2021,12/6/2021,,71600,7.16
PO11980,VL (HK) LIMITED,IR12390,8203,4000,FANU1811267,Transit,,DSV,No,10/7/2021,12/6/2021,,25000,6.25
PO12062,VL (HK) LIMITED,IR12392,5229,2800,FANU1811267,Transit,BPUT1,DSV,No,10/7/2021,12/6/2021,,15792,5.64
PO13454,VL (HK) LIMITED,IR12393,5225,180,FANU1811267,Transit,,DSV,No,10/7/2021,12/6/2021,,691.2,3.84
PO16292,VL (HK) LIMITED,IR12403,5303,1760,FANU1810770,Transit,BPUT1,DSV,No,10/7/2021,12/6/2021,,23056,13.1
PO16292,VL (HK) LIMITED,IR12405,5303,1240,FANU1813172,Transit,BPUT1,DSV,No,10/7/2021,12/6/2021,,16244,13.1
PO13017,VL (HK) LIMITED,IR12409,5282,2000,FANU1813172,Transit,BPUT1,DSV,No,10/7/2021,12/6/2021,,10260,5.13
PO12629,VL (HK) LIMITED,IR12412,5370,246,FANU1808540,Transit,BPUT1,DSV,No,10/7/2021,12/6/2021,,1837.62,7.47
PO16294,VL (HK) LIMITED,IR12413,5294,4500,FANU1808540,Transit,BPUT1,DSV,No,10/7/2021,12/6/2021,,26505,5.89
PO12342,VL (HK) LIMITED,IR12414,5275,3000,FANU1808540,Transit,BPUT1,DSV,No,10/7/2021,12/6/2021,,26130,8.71
PO12626,VL (HK) LIMITED,IR12415,5280,2228,FANU1808540,Transit,BPUT1,DSV,No,10/7/2021,12/6/2021,,7129.6,3.2
PO11890,VL (HK) LIMITED,IR12416,5251,2000,FANU1808540,Transit,BPUT1,DSV,No,10/7/2021,12/6/2021,,12280,6.14
PO11978,VL (HK) LIMITED,IR12417,5282,2040,FANU1808540,Transit,,DSV,No,10/7/2021,12/6/2021,,10465.2,5.13
PO11391,VL (HK) LIMITED,IR12422,5436,2662,CAAU5512307,Transit,,DSV,No,10/17/2021,12/6/2021,,24623.5,9.25
PO10965,VL (HK) LIMITED,IR12423,5516,566,HLXU6502564,Transit,BPUT1,DSV,No,10/14/2021,12/13/2021,,13538.72,23.92
PO12691,VL (HK) LIMITED,IR12424,1780,880,HLXU6502564,Transit,BPUT1,DSV,No,10/14/2021,12/13/2021,,2323.2,2.64
PO10214,VL (HK) LIMITED,IR12425,5478,150,HLXU6502564,Transit,Import,DSV,No,10/14/2021,12/13/2021,,600,4
PO11974,VL (HK) LIMITED,IR12426,5065,402,HLXU6502564,Transit,,DSV,No,10/14/2021,12/13/2021,,3195.9,7.95
PO12065,VL (HK) LIMITED,IR12427,5251,2500,HLXU6502564,Transit,BPUT1,DSV,No,10/14/2021,12/13/2021,,15350,6.14
PO11391,VL (HK) LIMITED,IR12428,5436,2338,HLXU6502564,Transit,,DSV,No,10/14/2021,12/13/2021,,21626.5,9.25
PO11974,VL (HK) LIMITED,IR12429,5065,1602,HLXU8062459,Transit,,DSV,No,10/14/2021,12/13/2021,,12735.9,7.95
PO12336,VL (HK) LIMITED,IR12430,5071,5000,HLXU8062459,Transit,BPUT1,DSV,No,10/14/2021,12/13/2021,,6250,1.25
PO11978,VL (HK) LIMITED,IR12433,5282,1188,FANU1804210,Transit,,DSV,No,10/14/2021,12/13/2021,,6094.44,5.13
PO12071,VL (HK) LIMITED,IR12434,5318,10000,FANU1804210,Transit,Import,DSV,No,10/14/2021,12/13/2021,,65500,6.55
PO12691,VL (HK) LIMITED,IR12435,1780,1255,FANU1804210,Transit,BPUT1,DSV,No,10/14/2021,12/13/2021,,3313.2,2.64
PO10965,VL (HK) LIMITED,IR12436,5516,3594,TGBU6369331,Transit,BPUT1,DSV,No,10/14/2021,12/13/2021,,85968.48,23.92
PO6692,"Guangdong Canbo Electrical Co., LTD",IR12479,1902,127,BEAU4149160,Transit,BPUT1,DSV,No,10/25/2021,12/14/2021,,29938.98,235.74
PO6692,"Guangdong Canbo Electrical Co., LTD",IR12478,1902,127,APHU7140741,Transit,BPUT1,DSV,No,10/25/2021,12/15/2021,,29938.98,235.74
PO9279,Shining Era Enterprise Limited,IR12585,5004,1634,TGBU4650334,Transit,,DSV,No,10/16/2021,12/15/2021,,27761.66,16.99
PO9279,Shining Era Enterprise Limited,IR12586,5004,1634,CAIU4537140,Transit,,DSV,No,10/16/2021,12/15/2021,,27761.66,16.99
PO9279,Shining Era Enterprise Limited,IR12587,5004,1634,CARU9975572,Transit,,DSV,No,10/16/2021,12/15/2021,,27761.66,16.99
PO9279,Shining Era Enterprise Limited,IR12588,5004,1634,FCIU7407739,Transit,,DSV,No,10/16/2021,12/15/2021,,27761.66,16.99
PO8732,Shining Era Enterprise Limited,IR12589,5011,1504,FFAU2912601,Transit,,DSV,No,10/16/2021,12/15/2021,,24861.12,16.53
PO8732,Shining Era Enterprise Limited,IR12590,5011,15,MSDU7268063,Transit,,DSV,No,10/16/2021,12/15/2021,,247.95,16.53
PO9629,Shining Era Enterprise Limited,IR12591,1968,490,MSDU7268063,Transit,,DSV,No,10/16/2021,12/15/2021,,29890,61
PO9803,Shining Era Enterprise Limited,IR12592,1968,20,MSDU7268063,Transit,,DSV,No,10/16/2021,12/15/2021,,1220,61
PO12305,Shining Era Enterprise Limited,IR12593,1542,6192,FSCU6147512,Transit,BPUT1,DSV,No,10/16/2021,12/15/2021,,32693.76,5.28
PO11127,Shining Era Enterprise Limited,IR12594,1542,6192,BMOU5931775,Transit,BPUT1,DSV,No,10/16/2021,12/15/2021,,32693.76,5.28
PO8723,Shining Era Enterprise Limited,IR12595,1860,332,MEDU7365066,Transit,,DSV,No,10/16/2021,12/15/2021,,27778.44,83.67
PO9778,Shining Era Enterprise Limited,IR12596,1605,463,CAXU9376142,Transit,,DSV,No,10/16/2021,12/15/2021,,38424.37,82.99
PO9778,Shining Era Enterprise Limited,IR12598,1605,463,TRHU7064069,Transit,,DSV,No,10/16/2021,12/15/2021,,38424.37,82.99
PO11599,Shining Era Enterprise Limited,IR12603,1867,736,TEMU8450756,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,29204.48,39.68
PO11599,Shining Era Enterprise Limited,IR12604,1867,736,CAIU4866016,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,29204.48,39.68
PO11599,Shining Era Enterprise Limited,IR12605,1867,736,GLDU7314730,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,29204.48,39.68
PO11599,Shining Era Enterprise Limited,IR12606,1969,592,MEDU7966920,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,28404.16,47.98
PO11599,Shining Era Enterprise Limited,IR12607,1969,592,MSMU8685427,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,28404.16,47.98
PO11599,Shining Era Enterprise Limited,IR12608,1969,592,MEDU8363284,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,28404.16,47.98
PO11599,Shining Era Enterprise Limited,IR12609,1969,592,CAIU8723760,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,28404.16,47.98
PO11599,Shining Era Enterprise Limited,IR12610,1969,592,FCIU8343541,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,28404.16,47.98
PO13748,Shining Era Enterprise Limited,IR12611,1969,592,CAIU4888566,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,28404.16,47.98
PO13748,Shining Era Enterprise Limited,IR12612,1969,592,MSCU5246879,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,28404.16,47.98
PO9281,Shining Era Enterprise Limited,IR12613,1814,251,TCLU5800977,Transit,,DSV,No,10/16/2021,12/15/2021,,10793,43
PO11599,Shining Era Enterprise Limited,IR12627,1867,736,TGHU9125095,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,29204.48,39.68
PO13748,Shining Era Enterprise Limited,IR12628,1969,592,MSCU5437263,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,28404.16,47.98
PO13748,Shining Era Enterprise Limited,IR12629,1969,592,MSMU7005124,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,28404.16,47.98
PO13748,Shining Era Enterprise Limited,IR12630,1969,592,CARU9766839,Transit,Fleming Sales,DSV,No,10/16/2021,12/15/2021,,28404.16,47.98
PO12346,VL (HK) LIMITED,IR12418,5017,61580,TCNU7519919,Transit,Import,DSV,No,10/17/2021,12/16/2021,,58501,0.95
PO13659,VL (HK) LIMITED,IR12419,5085,5000,CAAU5512307,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,29600,5.92
PO13644,VL (HK) LIMITED,IR12421,5072,2500,CAAU5512307,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,10450,4.18
PO12910,VL (HK) LIMITED,IR12431,5047,7000,HLXU8062459,Transit,BPUT1,DSV,No,10/14/2021,12/16/2021,,15120,2.16
PO12633,VL (HK) LIMITED,IR12432,5473,10002,HLXU8062459,Transit,BPUT1,DSV,No,10/14/2021,12/16/2021,,32206.44,3.22
PO16320,VL (HK) LIMITED,IR12437,5195,7000,BMOU6662069,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,21560,3.08
PO10965,VL (HK) LIMITED,IR12438,5516,2644,BMOU6662069,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,63244.48,23.92
PO10607,VL (HK) LIMITED,IR12439,5436,3722,FCIU9165779,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,34428.5,9.25
PO9296,VL (HK) LIMITED,IR12440,5370,3268,FCIU9165779,Transit,,DSV,No,10/17/2021,12/16/2021,,23823.72,7.29
PO9296,VL (HK) LIMITED,IR12442,5370,4104,FFAU2096128,Transit,,DSV,No,10/17/2021,12/16/2021,,29918.16,7.29
PO12693,VL (HK) LIMITED,IR12443,5071,2300,FFAU2096128,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,2875,1.25
PO9296,VL (HK) LIMITED,IR12444,5370,3268,HLBU1284230,Transit,,DSV,No,10/17/2021,12/16/2021,,23823.72,7.29
PO10607,VL (HK) LIMITED,IR12445,5436,3724,HLBU1284230,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,34447,9.25
PO12690,VL (HK) LIMITED,IR12446,1755,5000,TCNU3258503,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,31500,6.3
PO13452,VL (HK) LIMITED,IR12447,5153,4582,TCNU3258503,Transit,,DSV,No,10/17/2021,12/16/2021,,18786.2,4.1
PO12702,VL (HK) LIMITED,IR12448,5173,2004,TCNU3258503,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,16553.04,8.26
PO13457,VL (HK) LIMITED,IR12449,5228,20000,GESU5926637,Transit,,DSV,No,10/17/2021,12/16/2021,,41000,2.05
PO13455,VL (HK) LIMITED,IR12450,5225,3012,GESU5926637,Transit,,DSV,No,10/17/2021,12/16/2021,,11566.08,3.84
PO12688,VL (HK) LIMITED,IR12451,5370,2680,GESU5926637,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,20019.6,7.47
PO10607,VL (HK) LIMITED,IR12452,5436,2414,HLXU6507041,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,22329.5,9.25
PO16320,VL (HK) LIMITED,IR12453,5195,2000,HLXU6507041,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,6160,3.08
PO12691,VL (HK) LIMITED,IR12454,1780,2865,HLXU6507041,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,7563.6,2.64
PO12688,VL (HK) LIMITED,IR12455,5370,2000,HLXU6507041,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,14940,7.47
PO12693,VL (HK) LIMITED,IR12456,5071,2700,HLXU8606043,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,3375,1.25
PO10965,VL (HK) LIMITED,IR12457,5516,1160,HLXU8606043,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,27747.2,23.92
PO11129,VL (HK) LIMITED,IR12458,5064,390,HLXU8606043,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,1950,5
PO16287,VL (HK) LIMITED,IR12459,5275,3252,HLXU8606043,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,28324.92,8.71
PO16280,VL (HK) LIMITED,IR12460,5400,15804,HLXU8606043,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,116633.52,7.38
PO16320,VL (HK) LIMITED,IR12461,5195,3240,HLXU8606043,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,9979.2,3.08
PO10965,VL (HK) LIMITED,IR12462,5516,356,TCNU1046660,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,8515.52,23.92
PO13016,VL (HK) LIMITED,IR12463,5060,10000,TCNU1046660,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,62200,6.22
PO12688,VL (HK) LIMITED,IR12464,5370,490,TCNU1046660,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,3660.3,7.47
PO16320,VL (HK) LIMITED,IR12465,5195,26920,HLBU3422180,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,82913.6,3.08
PO12688,VL (HK) LIMITED,IR12466,5370,6536,TCLU1495279,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,48823.92,7.47
PO12620,VL (HK) LIMITED,IR12467,5229,10000,CAIU8547866,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,56400,5.64
PO12681,VL (HK) LIMITED,IR12468,5045,2120,CAIU8547866,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,20585.2,9.71
PO12681,VL (HK) LIMITED,IR12469,5045,880,TCLU8126288,Transit,BPUT1,DSV,No,10/17/2021,12/16/2021,,8544.8,9.71
PO9296,VL (HK) LIMITED,IR12470,5370,2658,TCLU8126288,Transit,,DSV,No,10/17/2021,12/16/2021,,19376.82,7.29
PO13455,VL (HK) LIMITED,IR12471,5225,6912,TCLU8126288,Transit,,DSV,No,10/17/2021,12/16/2021,,26542.08,3.84
PO9296,VL (HK) LIMITED,IR12472,5370,6536,CAAU5690187,Transit,,DSV,No,10/17/2021,12/16/2021,,47647.44,7.29
PO14259,Shining Era Enterprise Limited,IR12634,RP 80211,800,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO14259,Shining Era Enterprise Limited,IR12634,RP 80506,30,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,5190,173
PO14259,Shining Era Enterprise Limited,IR12634,RP 80513,30,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO14259,Shining Era Enterprise Limited,IR12634,RP 90013,100,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO14259,Shining Era Enterprise Limited,IR12634,RP 90019,400,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO14259,Shining Era Enterprise Limited,IR12634,RP 90211,10,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO14259,Shining Era Enterprise Limited,IR12634,RP 90704,700,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO14259,Shining Era Enterprise Limited,IR12634,RP 91801,5,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO14259,Shining Era Enterprise Limited,IR12634,RP 91836,250,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO14259,Shining Era Enterprise Limited,IR12634,RP 92404,800,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO14259,Shining Era Enterprise Limited,IR12634,RP 93325,200,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO14259,Shining Era Enterprise Limited,IR12634,RP 93522,16,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO15702,Shining Era Enterprise Limited,IR12635,RP 90081,42,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO15702,Shining Era Enterprise Limited,IR12635,RP 90083,2,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO15702,Shining Era Enterprise Limited,IR12635,RP 90084,2,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO15702,Shining Era Enterprise Limited,IR12635,RP 91801,7,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO15702,Shining Era Enterprise Limited,IR12635,RP 91806,10,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO15702,Shining Era Enterprise Limited,IR12635,RP 90001,1,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO15702,Shining Era Enterprise Limited,IR12635,RP 90003,6,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO15702,Shining Era Enterprise Limited,IR12635,RP 91537,8,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO13323,Shining Era Enterprise Limited,IR12636,RP 93406,40,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO13323,Shining Era Enterprise Limited,IR12636,RP 93506,40,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO13323,Shining Era Enterprise Limited,IR12636,RP 93536,140,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO13323,Shining Era Enterprise Limited,IR12636,RP 93537,160,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO13323,Shining Era Enterprise Limited,IR12636,RP 93579,500,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO12524,Shining Era Enterprise Limited,IR12637,RP 90055,10,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO12524,Shining Era Enterprise Limited,IR12637,RP 90299,50,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO12524,Shining Era Enterprise Limited,IR12637,RP 91007,20,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO12524,Shining Era Enterprise Limited,IR12637,RP 91041,100,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO12524,Shining Era Enterprise Limited,IR12637,RP 91060,20,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO13957,Shining Era Enterprise Limited,IR12638,RP 90082,30,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO13957,Shining Era Enterprise Limited,IR12638,RP 91235,10,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO13349,Shining Era Enterprise Limited,IR12639,RP 90084,100,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO13349,Shining Era Enterprise Limited,IR12639,RP 90083,100,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO11711,Shining Era Enterprise Limited,IR12640,RP 80604,10,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO11711,Shining Era Enterprise Limited,IR12640,RP 80690,30,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO11711,Shining Era Enterprise Limited,IR12640,RP 90406,20,TCLU5800977 RP,Transit,BPUT1,DSV,No,10/16/2021,12/16/2021,,0,0
PO11662,Shining Era Enterprise Limited,IR12641,RP 91041,20,TCLU5800977 RP,Transit,,DSV,No,10/16/2021,12/16/2021,,0,0
PO12525,"Guangdong Canbo Electrical Co., LTD",IR12410,RP 91606,50,CAIU9481824,Transit,BPUT1,DSV,No,10/18/2021,12/18/2021,,0,0
PO12525,"Guangdong Canbo Electrical Co., LTD",IR12410,RP 91628,50,CAIU9481824,Transit,BPUT1,DSV,No,10/18/2021,12/18/2021,,0,0
PO12525,"Guangdong Canbo Electrical Co., LTD",IR12410,RP 91638,60,CAIU9481824,Transit,BPUT1,DSV,No,10/18/2021,12/18/2021,,0,0
PO12525,"Guangdong Canbo Electrical Co., LTD",IR12410,RP 91642,200,CAIU9481824,Transit,BPUT1,DSV,No,10/18/2021,12/18/2021,,0,0
PO12525,"Guangdong Canbo Electrical Co., LTD",IR12410,RP 91643,200,CAIU9481824,Transit,BPUT1,DSV,No,10/18/2021,12/18/2021,,0,0
PO12525,"Guangdong Canbo Electrical Co., LTD",IR12410,RP 91649,500,CAIU9481824,Transit,BPUT1,DSV,No,10/18/2021,12/18/2021,,0,0
PO12525,"Guangdong Canbo Electrical Co., LTD",IR12410,RP 91928,50,CAIU9481824,Transit,BPUT1,DSV,No,10/18/2021,12/18/2021,,0,0
PO12525,"Guangdong Canbo Electrical Co., LTD",IR12410,RP 91929,50,CAIU9481824,Transit,BPUT1,DSV,No,10/18/2021,12/18/2021,,0,0
PO12525,"Guangdong Canbo Electrical Co., LTD",IR12410,RP 91930,50,CAIU9481824,Transit,BPUT1,DSV,No,10/18/2021,12/18/2021,,0,0
PO12525,"Guangdong Canbo Electrical Co., LTD",IR12410,RP 91950,50,CAIU9481824,Transit,BPUT1,DSV,No,10/18/2021,12/18/2021,,0,0
PO12525,"Guangdong Canbo Electrical Co., LTD",IR12410,RP 91958,50,CAIU9481824,Transit,BPUT1,DSV,No,10/18/2021,12/18/2021,,0,0
PO12525,"Guangdong Canbo Electrical Co., LTD",IR12410,RP 91965,50,CAIU9481824,Transit,BPUT1,DSV,No,10/18/2021,12/18/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92905,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92907,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92909,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92912,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92918,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92919,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92922,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92929,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92931,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92932,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92947,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92949,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92953,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92999,30,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 92322,5,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12529,RP 91607,50,CMAU5430992,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,245.5,4.91
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12544,RP 91605,100,FFAU4261263,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12544,RP 91615,15,FFAU4261263,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12544,RP 91617,50,FFAU4261263,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12544,RP 91630,30,FFAU4261263,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12544,RP 91631,30,FFAU4261263,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12544,RP 91632,30,FFAU4261263,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12544,RP 91633,30,FFAU4261263,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
PO11918,"Guangdong Canbo Electrical Co., LTD",IR12544,RP 91643,30,FFAU4261263,Transit,BPUT1,DSV,No,10/19/2021,12/19/2021,,0,0
